,context,question,answer
65,"“这孩子真有意思。”太吉郎想起扇秀男一记耳光的事来，一边忍住笑一边说，“千重子，你和秀男谈得很投缘呀，他在年轻姑娘面前胆怯吗？”

    千重子的眼光里露出腼腆的神色，说：

    “你是说在樟木林荫道上？……我只听他讲，不知他为什么这样兴冲冲地同我谈了这许多呢？……”

    “那是因为他喜欢千重子呗，连这点你都不明白？他曾说你比中宫寺和广隆寺的弥勒佛爷还美呐……连爸爸都吓一跳，那么一个别扭的小伙子，竟会说出这样了不起的话来。”

    “……”千重子也吃了一惊，脸唰地涨红到了耳朵根。

    “他和你都说了些什么了？”父亲探问。", “那是因为他喜欢千重子呗，连这点你都不明白？他曾说你比中宫寺和广隆寺的弥勒佛爷还美呐……连爸爸都吓一跳，那么一个别扭的小伙子，竟会说出这样了不起的话来。”,"{'太吉郎', '父亲', '爸爸'}"
66,"“当船尾正对着家的前面时，坐在船尾的匹特朝家的方向把吃槟榔的唾液用力地吐了过去，同时轻声埋怨道：
“终于又一次跳出了苦海里以后老娘还是要来的！下一次来就有你们好看的了！”
翠伊听到了匹特的话，就含笑与帕洛伊对看了一眼。
帕姆却间：“你埋怨啥呀，匹特？”
“没有呀，昆帕姆！我只是祝福家中个别人，望她更加阔起来！”
“谁受了匹特的祝福，肯定可以阔起来！”
“就是呀，奴的祝福是从不落空的！”",“就是呀，奴的祝福是从不落空的！”,{'匹特'}
67,"田延豹曾戏谑地说：“侍者一定把咱们当成同性恋了。”不过今天他没心戏谑谚了。他久久地盯着天花板，烟卷在唇边明明灭灭。很久以后他终于开口： 
    “老费，明天我要出去找田歌。我不放心她和那人在一起。” 
    费新吾早就知道，田延豹和堂妹的感情极为深厚。他勉强开玩笑说：“不必顾虑太多，即使谢豹飞身上嵌有猎豹基因的片断，他仍然是人而不是一头豹子。” 
    “不管怎样，我要尽力找到她。”",“老费，明天我要出去找田歌。我不放心她和那人在一起。” ,{'田延豹'}
68,"当船尾正对着家的前面时，坐在船尾的匹特朝家的方向把吃槟榔的唾液用力地吐了过去，同时轻声埋怨道：
“终于又一次跳出了苦海里，以后老娘还是要来的！下一次来就有你们好看的了！”
翠伊听到了匹特的话，就含笑与帕洛伊对看了一眼。
帕姆却间：“你埋怨啥呀，匹特？”
“没有呀，昆帕姆！我只是祝福家中个别人，望她更加阔起来！”
“谁受了匹特的祝福，肯定可以阔起来！”
“就是呀，奴的祝福是从不落空的！”",“没有呀，昆帕姆！我只是祝福家中个别人，望她更加阔起来！”,{'匹特'}
69,"费新吾沉吟着，他想陪小田一块去，又觉得不能离开此地。田延豹猜到了他的想法，说：“老费你留在这儿，我会经常同你联系，一旦田歌同这儿联系，请你立即把她的地址转给我。另外，也许谢教授会同你再度联系。” 
    “好吧，就这样安排。”",“老费你留在这儿，我会经常同你联系，一旦田歌同这儿联系，请你立即把她的地址转给我。另外，也许谢教授会同你再度联系。” ,"{'田延豹', '小田'}"
70,"麦婵搽过粉、洒了香水后才说：
“我今天来是想跟麦赛伊商量件事情。”
“有什么事就说吧，麦婵！”赛伊不经心地随口说道。麦婵看了一眼坐在房中的曹伊，又扭头望了一眼正埋头静静地卷叶子的帕洛伊，说：
“也不是什么急事，麦赛伊！等空了再谈也行。”说毕，便拿个枕头趴下用肘关节撑在枕头上用脚打着拍子什么也不说，好像等时间空了再说一样。
麦婵的一举一动，赛伊都看到眼里，知道她今天来谈的事是不能让孩子知道的。于是慢悠悠地发话道：
“今天上面有没有人侍奉也不知道。曹伊和帕洛伊上去侍奉，等天晚了再下来。如果贵妃间到姑妈，就回察说姑妈家中有事，天黑了就上去侍奉。”",“今天上面有没有人侍奉也不知道。曹伊和帕洛伊上去侍奉，等天晚了再下来。如果贵妃间到姑妈，就回察说姑妈家中有事，天黑了就上去侍奉。”,"{'赛伊', '麦赛伊'}"
71,"他返回卧室，挂通了家里的电话。 
    “妈妈，是我。” 
    妈妈在屏幕上焦急地看着他，急切地说：“鲍菲，这些天来为什么不同家里联系？你已经知道了吗？” 
    “我知道。我知道那个魔鬼正在控制我的四肢、内脏和大脑。” 
    “孩子，你爸爸的宣布是必不可免的，但他未免过于仓促。无论如何，他该事先同你深谈一次呀。希望你能理解他。实际上他对基因嵌接术一直心怀惕但，他不想把这个危险的魔鬼留在手中。他早就决定在本届奥运闭幕前向世人公布的，他不愿违犯自己的承诺。”",“我知道。我知道那个魔鬼正在控制我的四肢、内脏和大脑。” ,{'鲍菲'}
72,"“帕洛伊记住了，贵妃要我们去练习划船。”曹伊高兴得叫了起来。“什么意思？”帕洛伊莫名其妙地问。
“哎！”曹伊叫起来，“我和你要去划船呀，如果谁来问起，就以贵妃的命令来回人！她就没得说了！”
“划船还能有多难，练个一两天不就行了！”
“教，难得很！我们不是随随便便地划划就行了。我们要划好，让贵妃平平稳稳地坐在上面，如果划不好，翻了船，我们都要挨打受骂！练习一天两夫哪能行？至少每天要练三场。学会划了，还要积累经验。因此，我们每天都要练习。如果姑妈要说我，就说不得了。这是贵妃的旨意呀！”",“教，难得很！我们不是随随便便地划划就行了。我们要划好，让贵妃平平稳稳地坐在上面，如果划不好，翻了船，我们都要挨打受骂！练习一天两夫哪能行？至少每天要练三场。学会划了，还要积累经验。因此，我们每天都要练习。如果姑妈要说我，就说不得了。这是贵妃的旨意呀！,{'曹伊'}
73,"然而，因为心中充满了喜悦而发抖、等着和喜欢的人见面的日子的小枝，第十天过晌看到的，却是病愈的正太郎，和村里旅店家的女儿一起走在海边的身影。旅店家的女儿，比小枝大一两岁。是个海边的村子里少见的、白白的漂亮女孩。

　　“说是很久以前，两个人就定下了终身。”

　　小枝对裁缝奶奶说了一句。

　　“正太郎也好，正太郎的妈妈也好，早就把龟壳的事忘得一干二净了。马上就要举行盛大的婚礼了，光顾得高兴了。说是很久以前，旅店家的女儿和正太郎就定下终身了。而我，也答应了海龟……”

　　小枝恐惧地听到了大海的声音。",“说是很久以前，两个人就定下了终身。”,{'小枝'}
74,"有几只小船载着米粉辣鱼汤到湖中各只船边分发。这时曹伊嚷了起来：“我都快俄晕了，有米粉的船怎么不到这边来一只？等会儿有新的来了，谁帮着喊喊，叫他们划过来。我要吃个饱，还从没这样饿过。”
“这是你没划惯船的关系。”坐在船尾的匹特接上说，“今天你试了一下，就知道有多么俄了。奴已很习惯了，今天一大早就出来了，现在也俄了。等一会儿看吧，奴要吃两船的米粉，可能还不够呢！”
“是真饿了，曹伊！”赛伊很少跟侄女儿有过相同的意见，这次一致了：“现在姑妈也饿了。”",“是真饿了，曹伊！”,{'赛伊'}
75,"二妹回来的响动把我惊醒的时候，我见我面前的一枝十
二盎司一包的洋蜡烛已经点去了二寸的样子，我问她是什么
时候了？她说：

　　“十点的汽管刚刚放过。”

　　“你何以今天回来得这样迟？”

　　“厂里因为销路大了，要我们作夜工。工钱是增加的，
不过人太累了。”

　　“那你可以不去做的。”

　　“但是工人不够，不做是不行的。”",“你何以今天回来得这样迟？”,{'我'}
76,"有几只小船载着米粉辣鱼汤到湖中各只船边分发。这时曹伊嚷了起来：“我都快俄晕了，有米粉的船怎么不到这边来一只？等会儿有新的来了，谁帮着喊喊，叫他们划过来。我要吃个饱，还从没这样饿过。”
“这是你没划惯船的关系。”坐在船尾的匹特接上说，“今天你试了一下，就知道有多么俄了。奴已很习惯了，今天一大早就出来了，现在也俄了。等一会儿看吧，奴要吃两船的米粉，可能还不够呢！”
“是真饿了，曹伊！”赛伊很少跟侄女儿有过相同的意见，这次一致了：“现在姑妈也饿了。”",“现在姑妈也饿了。”,{'赛伊'}
77,"这时，狸猫由身后走来，他大概正准备搭火车去泡温泉浴，脚步很疾，与我擦身而过时瞧了瞧我，我就跟他打个招呼！他认真地问我：

“你今晚不是值夜吗？”

什麽是不是值夜，两小时前他才刚告诉我：

“今晚是你第一次值夜，辛苦你喽。”

还谢过我呢。唉！是不是当校长的人说话都拐弯抹角啊。我一生气，便回答说：

“是的，今晚是我值夜，我现在回去，但是今晚一定会住在学校。”说完，我就走了。",“是的，今晚是我值夜，我现在回去，但是今晚一定会住在学校。”,{'我'}
78,"划了一会儿，曹伊还是忍不住问道：
“姑妈，刚才那人是谁？'
“刚才哪个人？”
“就是那个划船送饭的人呀I'
“哦，那个人哟，就是布雷木。他是昭坤詹雅的儿子，昭坤周德的孙子。他是侍从官。为国王献身已多年了。瞧吧，这孩子有出息着呢！”
“姑妈什么时候跟他认识的？“
“噢，当他还是小孩子时，他常跑到宫里玩，就认识了。”赛伊肯定地点点头，“他妈社姆夫人，我也认得，他的两位姑妈，麦念和麦努过去都在正宫，是我的朋友。”",“姑妈什么时候跟他认识的？“,{'曹伊'}
79,"“喂，你今天不是值夜吗？”

“嗯，是值夜。”我回答。

“值夜怎麽随便出来呢？”

“怎麽不可以啊，不出来走才怪呢。”我理直气壮地瞪著他。

“你这样懒散不行的，如果遇到校长或教务主任就惨了。”豪猪一反平时说话的态度提醒著我。

“我刚才就遇到校长了，校长还安慰我，天气热的时候值夜，不出去走走也很苦。”我说完，心虚地急急回校去。",“值夜怎麽随便出来呢？”,{'豪猪'}
80,"划了一会儿，曹伊还是忍不住问道：
“姑妈，刚才那人是谁？'
“刚才哪个人？”
“就是那个划船送饭的人呀'
“哦，那个人哟，就是布雷木。他是昭坤詹雅的儿子，昭坤周德的孙子。他是侍从官。为国王献身已多年了。瞧吧，这孩子有出息着呢！”
“姑妈什么时候跟他认识的？“
“噢，当他还是小孩子时，他常跑到宫里玩，就认识了。”赛伊肯定地点点头，“他妈社姆夫人，我也认得，他的两位姑妈，麦念和麦努过去都在正宫，是我的朋友。”",“哦，那个人哟，就是布雷木。他是昭坤詹雅的儿子，昭坤周德的孙子。他是侍从官。为国王献身已多年了。瞧吧，这孩子有出息着呢！”,{'赛伊'}
81,"工友进来，问我那是什麽，我说：“还有什麽，是谁在床上养蝗虫的，真混蛋。”

他说：“我不知道啊。”

“说不知道就可以吗？”我气呼呼地将扫帚丢在阳台上。工友诚惶诚恐地扛著扫帚回去了。

我立刻叫来住校生三人作代表，结果来了六位，管他三位或六位。我就穿著睡衣，卷起袖子和他们算起账来。

“怎麽把蝗虫放到我床上来呢？”",“说不知道就可以吗？”,{'我'}
82,"划了一会儿，曹伊还是忍不住问道：
“姑妈，刚才那人是谁？'
“刚才哪个人？”
“就是那个划船送饭的人呀'
“哦，那个人哟，就是布雷木。他是昭坤詹雅的儿子，昭坤周德的孙子。他是侍从官。为国王献身已多年了。瞧吧，这孩子有出息着呢！”
“姑妈什么时候跟他认识的？“
“噢，当他还是小孩子时，他常跑到宫里玩，就认识了。”赛伊肯定地点点头，“他妈社姆夫人，我也认得，他的两位姑妈，麦念和麦努过去都在正宫，是我的朋友。”",“他妈社姆夫人，我也认得，他的两位姑妈，麦念和麦努过去都在正宫，是我的朋友。”,{'赛伊'}
83,"有一天，赤衣狂居然问我要不要去钓鱼，这个赤衣狂说话的声音温柔得令人起鸡皮疙瘩，听了真恶心，不禁让人怀疑他到底是男的还是女的。男子汉该有男子汉的语气，尤其是堂堂一个大学毕业生，怎麽连我这个物理学校毕业的小人物都不如，一位文学士那麽娘娘腔，实在是有失威严。我不大愿意地回答说：

“这个嘛——”

他无礼地接著问：“你钓过鱼吗？”

“长大没钓过，但是，小时候曾在小梅的钓鱼场钓了三条鲫鱼。也曾在神乐坂用针勾到一条八寸的鲤鱼，一时太兴奋，乐极生悲，不小心那条鱼又掉落水里，现在想起来都觉得可惜。”我这麽说着，赤衣狂突出下颚，“呵呵呵”地笑。",“长大没钓过，但是，小时候曾在小梅的钓鱼场钓了三条鲫鱼。也曾在神乐坂用针勾到一条八寸的鲤鱼，一时太兴奋，乐极生悲，不小心那条鱼又掉落水里，现在想起来都觉得可惜。”,{'我'}
84,"“美呐！赛伊！美吗？”昆努无所顾忌地问。
”她跟她妈一样漂亮啊！”
“我说，要比她妈漂亮，可对，赛伊？”
“我也是这样看。但蔡姆是个有趣的人，能说会道，帕洛伊是个娴静的女孩子，什么事都不多嘴，跟她妈截然不同。“
“娴静，不大多话，比能说会道的人强，不是吗，赛伊？”
“是的。话少的人事情也少。”",”她跟她妈一样漂亮啊！”,{'赛伊'}
85,"我心想，要接受小丑的照顾，倒不如去上吊。这时赤衣狂又说：

“是这样的，学生很欢迎你到学校来，但校里有许多内情你也许会不满，不遇，你要认清事态，暂时忍耐一阵，我绝不会作任何对你不利的处置。”

“你说有许多内情，究竟是指什麽？”

“很复杂，你慢慢会了解，不告诉你，你也终有一天会了解。”

“对，”小丑重复赤衣狂的话：“是很复杂，不是一朝一夕了解得完的，你会慢慢清楚，我不说，你也会知道。”",“你说有许多内情，究竟是指什麽？”,{'我'}
86,"“美呐！赛伊！美吗？”昆努无所顾忌地问。
”她跟她妈一样漂亮啊！”
“我说，要比她妈漂亮，可对，赛伊？”
“我也是这样看。但蔡姆是个有趣的人，能说会道，帕洛伊是个娴静的女孩子，什么事都不多嘴，跟她妈截然不同。““娴静，不大多话，比能说会道的人强，不是吗，赛伊？”“是的。话少的人事情也少。”",“娴静，不大多话，比能说会道的人强，不是吗，赛伊？”,{'昆努'}
87,"我心想，要接受小丑的照顾，倒不如去上吊。这时赤衣狂又说：

“是这样的，学生很欢迎你到学校来，但校里有许多内情你也许会不满，不遇，你要认清事态，暂时忍耐一阵，我绝不会作任何对你不利的处置。”

“你说有许多内情，究竟是指什麽？”

“很复杂，你慢慢会了解，不告诉你，你也终有一天会了解。”

“对，”小丑重复赤衣狂的话：“是很复杂，不是一朝一夕了解得完的，你会慢慢清楚，我不说，你也会知道。”",“很复杂，你慢慢会了解，不告诉你，你也终有一天会了解。”,{'赤衣狂'}
88,"昆努突然转向帕洛伊，迅速地问：
“召帕洛伊是哪年生的？”
帕洛伊把自己的生年告诉了她。
‘比布雷木小五岁。太大吗？我说不太大。对吗？”昆努心不在焉地问，又象自言自语，所以也没人回答。
帕洛伊坐在那儿低头瞧着地板，赛伊往帕洛伊这边瞥了一眼，然后又转向别处。",‘比布雷木小五岁。太大吗？我说不太大。对吗？”,{'昆努'}
89,"见贵妃这样认真，帕洛伊努力克制自己，擦了擦眼泪，说：“我不知道阿爸要把我嫁给谁，叫我怎样决定呢！”“他告诉我了。我还没说到，你就哭了，叫我怎么说得及？”贵妃似乎气平了一点。“男方相当好，年龄也相当，不太大也不小。他是宫廷武装侍卫，名叫布雷木，披耶周德家的人。他钱多得很。你还不满意吗？你认识他吧？”
“曾见到过他，但不认识，没讲过话。”帕洛伊说，尽管那时全身如冰一样。",“男方相当好，年龄也相当，不太大也不小。他是宫廷武装侍卫，名叫布雷木，披耶周德家的人。他钱多得很。你还不满意吗？你认识他吧？”,{'贵妃'}
90,"赛伊从御膳房静静地回到房内，看到帕洛伊和曹伊两个人坐在那儿一声不响，就怀疑地问：
“帕洛伊，贵妃说什么没有？”
“说过了，阿姨。这会儿我正跟曹伊商量。”
“哎哟，她成了大顾问了！”赛伊首先讽刺起曹伊来，“那么，她提供了什么指导意见呢？大人认为好的，她不是都要唱反调吗？”
“看姑妈哟，无缘无故地冤枉我！”曹伊大声叫道，“我还什么也没说哩！”",“说过了，阿姨。这会儿我正跟曹伊商量。”,{'帕洛伊'}
91,“帕姆，你好吗？刚刚回到家吗？我这就要回宫中去了。”“我回来好久了。碰到匹特一个人坐在这儿。我也就在这儿跟她聊了起来。想上楼去找你，又怕被人撵出来。”“看你说的！”翠伊争辩道，“你就喜欢说这种疯疯傻傻的话。你上楼谁撵你？你自己没心思去找，还找借口把责任推给别人！”“翠伊就是爱骂我！”帕姆快活地笑了。”,我回来好久了。碰到匹特一个人坐在这儿。我也就在这儿跟她聊了起来。想上楼去找你，又怕被人撵出来。”,{'帕姆'}
92,"“一天，布雷木大白天就回来了，一回到家还没来得及换衣服，就赶紧找到帕洛伊，说：
“帕洛伊，我们泰国宣战了！”布雷木说话的姿态表明消息十分重大，好像布雷木是宣布这一重大消息的人物似的。“是吗，布雷木？”帕洛伊疑惑不解地问，因为不懂“宣战”一词的重要性。“后来怎么样？”
布雷木听到帕洛伊的间话自己也有些茫然，但还是答道：“噢，就是参加这次欧战哪，帕洛伊！”
“站在哪一边？”",“站在哪一边？”,"{'帕洛伊疑', '帕洛伊'}"
93,"布雷木自豪地佩戴着皇家海军的证章。这枚证章是红白双色的细长片，中间是银光闪闪的高昂着鼻子的大象图案。这枚证章是已经捐了款的纪念章。除了他自己，布雷木还出钱替帕洛伊和孩子们买回了这种捐款证章，而且要帕洛伊和孩子们外出时都要佩戴上证章。
“为什么一定要戴呢？反正我们已捐过款了！”帕洛伊不解地问。
“戴上它，让人知道我们爱国，别的人也就会跟着学，捐款买军舰。这艘要买的战舰比我们所有的舰只都要大。有了它，我们泰国就能跟其他国家稍稍看齐。”",“戴上它，让人知道我们爱国，别的人也就会跟着学，捐款买军舰。这艘要买的战舰比我们所有的舰只都要大。有了它，我们泰国就能跟其他国家稍稍看齐。”,{'布雷木'}
94,"帕洛伊还没下决心怎么办好，便找翠伊商量。翠伊仔细审视了一下帕洛伊的面孔便说：
“说真的，我也同意。你应该留长发。因为你并不显老，留长发不会让人讨厌哩”
“你也不过大我两岁，为什么不留长发啊？”帕洛伊反问道。“我以后再说吧，你先留长发看看怎么样。如果还好，那我再留不迟。”",“我以后再说吧，你先留长发看看怎么样。如果还好，那我再留不迟。”,{'翠伊'}
95,"“我庆幸自己没跟那班人去觑见！”帕洛伊开心地说，“上次，我没答应你，你还把我挖苦了一番！”
“我那不是挖苦哇！”布雷木辩解，“我高兴的是帕洛伊没去，就是怕想认为帕洛伊也是那种逢迎拍马的人。如果怨真的认为我的妻子也如此，那我真要大丢人了！”
“布雷木，我告诉你一件事，你可别骂我疯子呀！”
“说吧，即使我认为你真疯了，也不做声。”
“打从我内心说，我也同样想去觑见。自从得知国王将举行结婚大典，我就忍不住想，高兴是高兴，最好亲自看看。之所以没有去，就只因为怕被人指责为逢迎拍马的人。”",“说吧，即使我认为你真疯了，也不做声。”,{'布雷木'}
96,"“我庆幸自己没跟那班人去觑见！”帕洛伊开心地说，“上次，我没答应你，你还把我挖苦了一番！”
“我那不是挖苦哇！”布雷木辩解，“我高兴的是帕洛伊没去，就是怕想认为帕洛伊也是那种逢迎拍马的人。如果怨真的认为我的妻子也如此，那我真要大丢人了！”
“布雷木，我告诉你一件事，你可别骂我疯子呀！”
“说吧，即使我认为你真疯了，也不做声。”
“打从我内心说，我也同样想去觑见。自从得知国王将举行结婚大典，我就忍不住想，高兴是高兴，最好亲自看看。之所以没有去，就只因为怕被人指责为逢迎拍马的人。”",“打从我内心说，我也同样想去觑见。自从得知国王将举行结婚大典，我就忍不住想，高兴是高兴，最好亲自看看。之所以没有去，就只因为怕被人指责为逢迎拍马的人。”,{'帕洛伊'}
97,"“帕洛伊坐在车中静静地一言不发，两手抱在脚前，感到深夜的凉意。
“怎么样，帕洛伊？”布雷木间。
“有点冷。”
“我说戏怎么样？”布雷木轻轻地说。
“挺有趣的。”帕洛伊有意回避，不想公开自己内心的感受。
“但我以前没看过，还看不大懂。人物也太多了，弄得我晕头转向，搞不明白！”",“但我以前没看过，还看不大懂。人物也太多了，弄得我晕头转向，搞不明白！”,{'布雷木'}
98,"“这一点你不用为她担心。”曹伊笑着说道，“那个讲给我听的人说，尽管她失宠了，另一个却正得宠。”
“哪一个正得宠？”
“就是帕沃恩甘雅的妹妹呀！”
“曹伊见过她没有？怎么样啊？”帕洛伊关心地询问道。“在王后宫中见过一两次面。你可能不记得了。”",“在王后宫中见过一两次面。你可能不记得了。”,{'曹伊'}
99,"一天，妩恩到楼上来说：
“帕洛伊，我想给你谈谈邦奎河边家中未了的事。““请说吧，姐姐。”
“我老了，一天天老了，眼下也没办法自力谋生，剩下的一点钱用一点少一点，糊到老算了。我没有生财的门路，无力支撑那个家。所以我想把邦奎河岸边那个家的所有权转让给你。””姐姐为什么要这样着急呢？”帕洛伊不同意，”我不急钱用，姐姐就更不用急了。先不讲这个吧。八千株虽说不是个小数，但也不是弄不到的，如果把那儿的房子卖了，也决不止八千这个数。姐姐让给我，别人会说我请姐姐到这儿来是为了得到房产。”",“我老了，一天天老了，眼下也没办法自力谋生，剩下的一点钱用一点少一点，糊到老算了。我没有生财的门路，无力支撑那个家。所以我想把邦奎河岸边那个家的所有权转让给你。”,{'妩恩'}
100,"一天恰巧有空，帕洛伊便邀帕姆一块儿回家去看看。船愈是近家，帕洛伊心跳愈急。离家实在很久了，这次回去是以这个家的主人身份回去的，怎么能不激动？
“谁能想到，”帕姆的声音飘了过来，“谁能想到这个家成了帕洛伊的家了！我们小时候跑来跑去，只知道玩，你可曾想到过现在你会成为主人？”
“我做梦也没想到，你也真会问！我们是庶出的子女，正出的子女一大堆，还能有我们的份？”",“我做梦也没想到，你也真会问！我们是庶出的子女，正出的子女一大堆，还能有我们的份？”,{'帕洛伊'}
101,"“昆帕洛伊！”后面不知是谁满含敬意地轻轻喊了一声。帕洛伊往后瞧去，看到一个妇女坐在地上。妇女一见帕洛伊回过脸来，便立即顶礼膜拜。帕洛伊凝视良久，想认出她是谁。女的还不太老，因为头发还是黑的，但却骨瘦如柴，形容枯搞，两眼深陷，以致看起来象个老人。
“昆帕洛伊记不得奴家了吧？”女子说毕，便低头吸泣。“谁？”帕洛伊困惑地问。“我真记不起了，你是谁？”“奴是帕翁啊！”女子呜咽着回道。
帕洛伊吃了一惊便疾步走近帕翁，说：
“你是帕翁？啊，我记起来了，你真瘦多了！害什么病了吗？”",“我真记不起了，你是谁？”,"{'昆帕洛伊', '帕洛伊'}"
102,"“昆帕洛伊！”后面不知是谁满含敬意地轻轻喊了一声。帕洛伊往后瞧去，看到一个妇女坐在地上。妇女一见帕洛伊回过脸来，便立即顶礼膜拜。帕洛伊凝视良久，想认出她是谁。女的还不太老，因为头发还是黑的，但却骨瘦如柴，形容枯搞，两眼深陷，以致看起来象个老人。
“昆帕洛伊记不得奴家了吧？”女子说毕，便低头吸泣。“谁？”帕洛伊困惑地问。“我真记不起了，你是谁？”“奴是帕翁啊！”女子呜咽着回道。
帕洛伊吃了一惊便疾步走近帕翁，说：
“你是帕翁？啊，我记起来了，你真瘦多了！害什么病了吗？”",“奴是帕翁啊！”,{'帕翁'}
103,"帕洛伊听帕姆这样说，觉得这确实是实情，帕姆跟布雷木是性格相差很远的人，但嘴上却说：
“最近不知布雷木怎么了，他心绪不佳，动不动就发火。你跟他是老朋友，跟他也谈得来，你劝劝他吧。我真是一筹莫展了！”“我也不知道怎样劝他好，”帕姆迟疑起来。“他可是个官比我大得多的人，虽然过去是朋友，但现在地位不同了。”帕洛伊知道这是实情，但还是要求：
“尽管这样，你过去跟他是朋友，现在跟他是亲戚，我觉得布雷木只是由于无事可做而感到寂寞。如果你常常来邀他谈谈、玩玩，分分他的心，可能要好些。”",“最近不知布雷木怎么了，他心绪不佳，动不动就发火。你跟他是老朋友，跟他也谈得来，你劝劝他吧。我真是一筹莫展了！”,{'帕洛伊'}
104,"一天，帕姆来访，寒暄后，帕姆说：
“帕洛伊还记得我们的一次谈话吗？”
“坤銮跟我谈了不知多少次话，你指的是哪一次呢？”“就是关于预言的那一次。”
“哦，这才多少日子，哪能忘了呢？”帕洛伊回道。“到底怎样了？”
“你知道我交往的人很多，”帕姆解释道，“我的朋友，几乎每个单位都有，因此，我常听到一些消息。最近听说，现在有人正在阴谋推翻王权。”",“就是关于预言的那一次。”,"{'帕姆', '坤銮'}"
105,"一天，帕姆来访，寒暄后，帕姆说：
“帕洛伊还记得我们的一次谈话吗？”
“坤銮跟我谈了不知多少次话，你指的是哪一次呢？”“就是关于预言的那一次。”
“哦，这才多少日子，哪能忘了呢？”帕洛伊回道。“到底怎样了？”
“你知道我交往的人很多，”帕姆解释道，“我的朋友，几乎每个单位都有，因此，我常听到一些消息。最近听说，现在有人正在阴谋推翻王权。”",“坤銮跟我谈了不知多少次话，你指的是哪一次呢？”,{'帕洛伊'}
106,"“从达岸告诉这事后，露茜后来也跟帕洛伊谈起此事。帕洛伊从她口中说的看来，觉得露茜好像要离开很久，同时这次的离别，好像达岸的强迫大于露茜的自愿。
“露茜很不愿意走。”露茜向帕洛伊诉说，“但达岸要露茜走，我只好走。”
“啊，可是达岸告诉我说，露茜想家呀！'
“露茜想家也是事实。”露茜回道。“但想家不一定回家。因为我已跟达岸结婚了，就应跟达岸在一起。但这许多天来，他天天催我走，我只好走。”",“啊，可是达岸告诉我说，露茜想家呀！',{'帕洛伊'}
107,"直到事变后的第二天吃晚饭时，达岸还不见影儿，帕洛伊再也憋不住了，便说：“傲德知道达岸哥哥在哪儿吗？”
“我要说吧，你又要训我了。”傲德埋怨道。尽管埋怨，但在他的眼神里并没有丝毫生气的意思。
“傲德别埋怨妈妈吧！”帕洛伊口气缓和地说。“那时妈妈吓坏了，所以说了你几句。现在你告诉妈，达岸在哪儿？”“达岸哥哥不是那种晚上去玩乐的人。他没有回来总是由于离不开或者放不下手上的工作。我想妈妈不用忧虑，过一会儿说不定就会回来了。”",“达岸哥哥不是那种晚上去玩乐的人。他没有回来总是由于离不开或者放不下手上的工作。我想妈妈不用忧虑，过一会儿说不定就会回来了。”,{'傲德'}
108,"“我想向妈妈提出个要求。”达岸转了话题。
“可以，你要求什么？”由于儿子及时地变换了话题，帕洛伊感到高兴，满心欢喜地问道。
“如果妈妈今后再谈到那天发生的事，请妈妈别称为‘叛乱'，了。听起来既刺耳又伤心，别的人听到可能会有反感。”“那你叫妈怎样称呼呢？”帕洛伊真不知道应该怎样称呼，有些着急了。
“称为政治上的改变。”达岸回说。",“如果妈妈今后再谈到那天发生的事，请妈妈别称为‘叛乱'，了。听起来既刺耳又伤心，别的人听到可能会有反感。”,{'达岸'}
109,"一天天过去，帕洛伊觉得那时国家政变的弦紧张得要断了！所谓代自由”、“革命”的词日渐成了口头禅。傲德说，学生在革老师的命，小沙弥在革长老的命。帕洛伊听了这话只是不停地摩胸口，好像怕喘不过气来似的。但对于这种情况，最开心、最感兴味的却是曹伊.
一天，曹伊来访，说：
“最近我真后悔出生得太早了。”
“为什么？”
“或者说眼前的事变发生得太迟了！”曹伊不理帕洛伊的碴儿接着说。",“为什么？”,{'帕洛伊'}
110,"“很复杂，你慢慢会了解，不告诉你，你也终有一天会了解。”

“对，”小丑重复赤衣狂的话：“是很复杂，不是一朝一夕了解得完的，你会慢慢清楚，我不说，你也会知道。”

“既然那麽麻烦，我不听也罢，是你谈起我才问的。”

“是我提起的没错，就这样停了，我好像不负责任，好吧！就告诉你一些，容我冒昧地说，你才踏出校门，第一次当老师，没经验，学校里因为有许多内幕，所以师生之间就无法像一般那样淡然处之。”

“不能淡然处之，那要怎麽做才行？”

“你就是那麽率直，我才说你经验不够。”

“经验不够，那是当然啦，在履历表上我写得很清楚，我现年二十三岁零四个月。”，“所以才会让人有机可乘。”。“不过，只要自己老实，谁想趁虚而入，我都不怕。”

“虽然不怕，但是，若有人真的想趁虚而入，那你就非小心不可了。老实说，你的上一任那位就被人干掉了。”

没听到小丑反应，我回头看，原来他走到船尾去和船夫谈钓鱼经了。小丑不在场，说话方便多了。于是，我问：“我的前一任是被何人趁虚而入呢？”

“如果我指名道姓，就会影响人家的名誉，再说，没凭没据我也不能乱说，既然你来本校，教出什麽差错的话，也枉费我们请你来，所以，请你自个儿小心。”

“你要我小心，我却不知道如何小心。”

“只要不做坏事就行。”赤衣狂说着，呵呵地笑起来。

我并不觉得自己的话有什麽好笑的，只是，到目前为止，我认为自己还不错",“是很复杂，不是一朝一夕了解得完的，你会慢慢清楚，我不说，你也会知道。”,"{'小丑', '我'}"
